time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:08:58:7560,-0.5127,0.0841,-0.5346,0.745
2021-09-05 18:08:58:7630,-0.3637,0.0731,-0.5656,0.676
2021-09-05 18:08:58:7740,-0.1706,0.0675,-0.4495,0.486
2021-09-05 18:08:58:7830,0.1049,-0.0487,-0.3031,0.324
2021-09-05 18:08:58:7940,0.3817,-0.0201,-0.2086,0.435
2021-09-05 18:08:58:8030,0.3383,0.0295,-0.2799,0.44
2021-09-05 18:08:58:8149,0.1273,0.242,-0.4502,0.527
2021-09-05 18:08:58:8230,-0.0717,0.3123,-0.5576,0.643
2021-09-05 18:08:58:8340,-0.1806,0.2167,-0.6552,0.713
2021-09-05 18:08:58:8430,-0.1953,0.0498,-0.7003,0.729
2021-09-05 18:08:58:8570,-0.2069,-0.2251,-0.5612,0.639
2021-09-05 18:08:58:8640,-0.1637,-0.3215,-0.4154,0.55
2021-09-05 18:08:58:8750,-0.1427,-0.3616,-0.1089,0.404
2021-09-05 18:08:58:8830,-0.0947,-0.2441,0.0485,0.266
2021-09-05 18:08:58:8940,0.202,-0.0956,0.3001,0.374
2021-09-05 18:08:58:9030,0.3977,-0.0859,0.4972,0.642
2021-09-05 18:08:58:9140,0.5907,-0.079,0.6966,0.917
2021-09-05 18:08:58:9230,0.6695,-0.0955,0.7266,0.993
2021-09-05 18:08:58:9350,0.7149,-0.013,0.6547,0.969
2021-09-05 18:08:58:9430,0.5742,0.0831,0.5666,0.811
2021-09-05 18:08:58:9550,0.4694,0.162,0.3054,0.583
2021-09-05 18:08:58:9640,0.4474,0.0727,0.1333,0.472
2021-09-05 18:08:58:9750,0.5056,-0.3808,-0.0349,0.634
2021-09-05 18:08:58:9830,0.0869,-0.6345,0.4825,0.802
2021-09-05 18:08:58:9960,0.1135,-0.5133,0.2434,0.579
2021-09-05 18:08:59:0030,-0.1663,-0.4669,0.6807,0.842
2021-09-05 18:08:59:0140,-0.1502,-0.3634,0.7127,0.814
2021-09-05 18:08:59:0230,-0.1662,-0.2022,0.6298,0.682
2021-09-05 18:08:59:0340,-0.122,0.0564,0.5501,0.566
2021-09-05 18:08:59:0429,-0.0338,0.2346,0.4934,0.547
2021-09-05 18:08:59:0560,0.2108,0.3209,0.4441,0.587
2021-09-05 18:08:59:0630,0.355,0.2449,0.3883,0.58
2021-09-05 18:08:59:0740,0.4392,-0.089,0.1318,0.467
2021-09-05 18:08:59:0830,0.4495,-0.3515,-0.1012,0.58
2021-09-05 18:08:59:0950,0.403,-0.2851,-0.1144,0.507
2021-09-05 18:08:59:1030,-0.1816,-0.0071,-0.1085,0.212
2021-09-05 18:08:59:1160,-0.7301,0.3611,-0.183,0.835
2021-09-05 18:08:59:1230,-0.8593,0.4091,-0.194,0.971
2021-09-05 18:08:59:1330,-0.3039,0.2446,-0.2041,0.44
2021-09-05 18:08:59:1429,0.1905,0.1251,-0.1567,0.277
2021-09-05 18:08:59:1550,0.4233,0.129,-0.1314,0.462
2021-09-05 18:08:59:1640,0.4676,0.2334,-0.4045,0.661
2021-09-05 18:08:59:1750,0.3493,0.3094,-0.5524,0.723
2021-09-05 18:08:59:1830,0.8336,0.5547,-0.9961,1.412
2021-09-05 18:08:59:1940,-0.8336,0.5525,-0.6788,1.209
2021-09-05 18:08:59:2030,-0.3648,0.3278,-0.1746,0.521
2021-09-05 18:08:59:2150,0.0642,0.1391,-0.035,0.157
2021-09-05 18:08:59:2230,0.3382,-0.0943,0.1972,0.403
2021-09-05 18:08:59:2350,0.5494,-0.5966,0.4226,0.914
2021-09-05 18:08:59:2430,0.5604,-0.67,0.4582,0.986
2021-09-05 18:08:59:2540,0.3821,-0.3583,0.4279,0.676
2021-09-05 18:08:59:2630,0.2502,-0.0484,0.0806,0.267
2021-09-05 18:08:59:2740,-0.0218,0.2461,-0.5309,0.586
2021-09-05 18:08:59:2829,-0.1241,0.3587,-0.5305,0.652
2021-09-05 18:08:59:2950,0.0328,0.2905,-0.2685,0.397
2021-09-05 18:08:59:3030,0.1736,0.1002,0.0733,0.213
2021-09-05 18:08:59:3140,0.2164,-0.1226,0.1965,0.317
2021-09-05 18:08:59:3230,0.2604,-0.1235,0.1307,0.316
2021-09-05 18:08:59:3350,0.2394,-0.0035,0.2363,0.336
2021-09-05 18:08:59:3439,0.4067,0.0676,0.2834,0.5
2021-09-05 18:08:59:3570,0.5625,0.0468,0.2168,0.605
2021-09-05 18:08:59:3650,0.4787,0.1217,0.1123,0.507
2021-09-05 18:08:59:3740,0.5193,0.261,0.0173,0.581
2021-09-05 18:08:59:3840,0.9559,0.3595,-0.0128,1.021
2021-09-05 18:08:59:3960,-0.151,0.1757,-0.584,0.628
2021-09-05 18:08:59:4040,-0.3527,0.3611,-0.8642,1.001
2021-09-05 18:08:59:4160,0.1392,0.4464,-0.5643,0.733
